class,precision,recall,f1_score,accuracy
O,0.0,0.0,0.0,   0.20
I,0.8,0.67,0.73,   0.20
U,1.0,0.33,0.5,   0.20
E,1.0,0.25,0.4,   0.20
A,0.0,0.0,0.0,   0.20
B,0.09,1.0,0.17,   0.20
D,0.21,0.8,0.33,   0.20
G,0.0,0.0,0.0,   0.20
L,0.0,0.0,0.0,   0.20
M,1.0,0.33,0.5,   0.20
N,0.0,0.0,0.0,   0.20
P,0.0,0.0,0.0,   0.20
Q,0.0,0.0,0.0,   0.20
V,0.0,0.0,0.0,   0.20
W,0.0,0.0,0.0,   0.20
C,0.0,0.0,0.0,   0.20
R,1.0,0.33,0.5,   0.20
T,0.0,0.0,0.0,   0.20
S,0.0,0.0,0.0,   0.20
H,0.0,0.0,0.0,   0.20
F,0.0,0.0,0.0,   0.20
Z,0.0,0.0,0.0,   0.20
Y,1.0,0.33,0.5,   0.20
J,0.07,1.0,0.13,   0.20
K,0.0,0.0,0.0,   0.20
X,0.0,0.0,0.0,   0.20
